,date,annual_return,Investment,high_low
0,2020-09-10,56.59194177743055,13000000,"[-5.971929000000004, 57.92918262130952]"
1,2020-09-11,56.59194177743055,13000000,"[-5.971929000000004, 57.92918262130952]"
2,2020-09-14,56.59194177743055,13000000,"[-5.971929000000004, 57.92918262130952]"
3,2020-09-15,56.59194177743055,13000000,"[-5.971929000000004, 57.92918262130952]"
4,2020-09-16,56.59194177743055,13000000,"[-5.971929000000004, 57.92918262130952]"
5,2020-09-17,56.59194177743055,13000000,"[-5.971929000000004, 57.92918262130952]"
6,2020-09-18,56.59194177743055,13000000,"[-5.971929000000004, 57.92918262130952]"
7,2020-09-21,56.59194177743055,13000000,"[-5.971929000000004, 57.92918262130952]"
8,2020-09-22,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
9,2020-09-23,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
10,2020-09-24,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
11,2020-09-25,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
12,2020-09-28,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
13,2020-09-29,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
14,2020-09-30,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
15,2020-10-01,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
16,2020-10-05,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
17,2020-10-06,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
18,2020-10-07,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
19,2020-10-08,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
20,2020-10-09,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
21,2020-10-12,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
22,2020-10-13,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
23,2020-10-14,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
24,2020-10-15,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
25,2020-10-16,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
26,2020-10-19,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
27,2020-10-20,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
28,2020-10-21,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
29,2020-10-22,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
30,2020-10-23,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
31,2020-10-26,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
32,2020-10-27,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
33,2020-10-28,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
34,2020-10-29,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
35,2020-10-30,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
36,2020-11-02,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
37,2020-11-03,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
38,2020-11-04,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
39,2020-11-05,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
40,2020-11-06,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
41,2020-11-09,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
42,2020-11-10,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
43,2020-11-11,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
44,2020-11-12,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
45,2020-11-13,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
46,2020-11-14,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
47,2020-11-17,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
48,2020-11-18,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
49,2020-11-19,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
50,2020-11-20,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
51,2020-11-23,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
52,2020-11-24,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
53,2020-11-25,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
54,2020-11-26,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
55,2020-11-27,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
56,2020-12-01,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
57,2020-12-02,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
58,2020-12-03,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
59,2020-12-04,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
60,2020-12-07,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
61,2020-12-08,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
62,2020-12-09,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
63,2020-12-10,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
64,2020-12-11,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
65,2020-12-14,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
66,2020-12-15,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
67,2020-12-16,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
68,2020-12-17,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
69,2020-12-18,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
70,2020-12-21,56.06129426354167,12900000,"[-4.013678252201258, 57.46804999273809]"
71,2020-12-22,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
72,2020-12-23,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
73,2020-12-24,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
74,2020-12-28,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
75,2020-12-29,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
76,2020-12-30,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
77,2020-12-31,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
78,2021-01-01,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
79,2021-01-04,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
80,2021-01-05,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
81,2021-01-06,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
82,2021-01-07,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
83,2021-01-08,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
84,2021-01-11,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
85,2021-01-12,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
86,2021-01-13,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
87,2021-01-14,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
88,2021-01-15,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
89,2021-01-18,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
90,2021-01-19,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
91,2021-01-20,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
92,2021-01-21,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
93,2021-01-22,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
94,2021-01-25,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
95,2021-01-27,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
96,2021-01-28,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
97,2021-01-29,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
98,2021-02-01,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
99,2021-02-02,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
100,2021-02-03,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
101,2021-02-04,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
102,2021-02-05,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
103,2021-02-08,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
104,2021-02-09,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
105,2021-02-10,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
106,2021-02-11,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
107,2021-02-12,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
108,2021-02-15,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
109,2021-02-16,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
110,2021-02-17,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
111,2021-02-18,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
112,2021-02-19,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
113,2021-02-22,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
114,2021-02-23,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
115,2021-02-24,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
116,2021-02-25,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
117,2021-02-26,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
118,2021-03-01,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
119,2021-03-02,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
120,2021-03-03,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
121,2021-03-04,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
122,2021-03-05,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
123,2021-03-08,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
124,2021-03-09,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
125,2021-03-10,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
126,2021-03-12,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
127,2021-03-15,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
128,2021-03-16,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
129,2021-03-17,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
130,2021-03-18,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
131,2021-03-19,55.89463710034722,12800000,"[-4.126503337106919, 57.31786784630952]"
132,2021-03-22,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
133,2021-03-23,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
134,2021-03-24,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
135,2021-03-25,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
136,2021-03-26,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
137,2021-03-30,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
138,2021-03-31,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
139,2021-04-01,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
140,2021-04-05,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
141,2021-04-06,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
142,2021-04-07,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
143,2021-04-08,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
144,2021-04-09,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
145,2021-04-12,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
146,2021-04-13,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
147,2021-04-15,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
148,2021-04-16,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
149,2021-04-19,55.56791469409721,12700000,"[-4.405113620125786, 56.97405630702381]"
150,2021-04-20,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
151,2021-04-22,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
152,2021-04-23,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
153,2021-04-26,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
154,2021-04-27,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
155,2021-04-28,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
156,2021-04-29,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
157,2021-04-30,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
158,2021-05-03,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
159,2021-05-04,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
160,2021-05-05,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
161,2021-05-06,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
162,2021-05-07,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
163,2021-05-10,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
164,2021-05-11,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
165,2021-05-12,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
166,2021-05-14,55.62369421354166,12600000,"[-4.337194978616353, 57.035439097023804]"
167,2021-05-17,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
168,2021-05-18,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
169,2021-05-19,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
170,2021-05-20,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
171,2021-05-21,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
172,2021-05-24,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
173,2021-05-25,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
174,2021-05-26,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
175,2021-05-27,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
176,2021-05-28,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
177,2021-05-31,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
178,2021-06-01,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
179,2021-06-02,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
180,2021-06-03,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
181,2021-06-04,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
182,2021-06-07,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
183,2021-06-08,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
184,2021-06-09,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
185,2021-06-10,54.625317125,12500000,"[-6.703445438333335, 56.02003766364734]"
186,2021-06-11,54.78879845246479,12400000,"[-6.538730438333335, 56.2056064245169]"
187,2021-06-14,54.78879845246479,12400000,"[-6.538730438333335, 56.2056064245169]"
188,2021-06-15,54.78879845246479,12400000,"[-6.538730438333335, 56.2056064245169]"
189,2021-06-16,54.78879845246479,12400000,"[-6.538730438333335, 56.2056064245169]"
190,2021-06-17,54.78879845246479,12400000,"[-6.538730438333335, 56.2056064245169]"
191,2021-06-18,54.680125153169,12300000,"[-6.7317240697278935, 56.10421969263284]"
192,2021-06-21,54.680125153169,12300000,"[-6.7317240697278935, 56.10421969263284]"
193,2021-06-22,54.56080874471831,12200000,"[-6.799379962585036, 55.99380003683575]"
