,date,annual_return,Investment,high_low
0,2020-09-10,50.60918333659421,12400000,"[-5.971929000000004, 50.60918333659421]"
1,2020-09-11,50.60918333659421,12400000,"[-5.971929000000004, 50.60918333659421]"
2,2020-09-14,50.60918333659421,12400000,"[-5.971929000000004, 50.60918333659421]"
3,2020-09-15,50.60918333659421,12400000,"[-5.971929000000004, 50.60918333659421]"
4,2020-09-16,50.60918333659421,12400000,"[-5.971929000000004, 50.60918333659421]"
5,2020-09-17,50.60918333659421,12400000,"[-5.971929000000004, 50.60918333659421]"
6,2020-09-18,50.60918333659421,12400000,"[-5.971929000000004, 50.60918333659421]"
7,2020-09-21,50.60918333659421,12400000,"[-5.971929000000004, 50.60918333659421]"
8,2020-09-22,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
9,2020-09-23,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
10,2020-09-24,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
11,2020-09-25,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
12,2020-09-28,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
13,2020-09-29,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
14,2020-09-30,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
15,2020-10-01,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
16,2020-10-05,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
17,2020-10-06,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
18,2020-10-07,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
19,2020-10-08,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
20,2020-10-09,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
21,2020-10-12,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
22,2020-10-13,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
23,2020-10-14,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
24,2020-10-15,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
25,2020-10-16,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
26,2020-10-19,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
27,2020-10-20,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
28,2020-10-21,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
29,2020-10-22,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
30,2020-10-23,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
31,2020-10-26,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
32,2020-10-27,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
33,2020-10-28,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
34,2020-10-29,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
35,2020-10-30,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
36,2020-11-02,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
37,2020-11-03,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
38,2020-11-04,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
39,2020-11-05,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
40,2020-11-06,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
41,2020-11-09,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
42,2020-11-10,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
43,2020-11-11,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
44,2020-11-12,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
45,2020-11-13,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
46,2020-11-14,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
47,2020-11-17,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
48,2020-11-18,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
49,2020-11-19,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
50,2020-11-20,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
51,2020-11-23,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
52,2020-11-24,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
53,2020-11-25,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
54,2020-11-26,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
55,2020-11-27,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
56,2020-12-01,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
57,2020-12-02,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
58,2020-12-03,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
59,2020-12-04,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
60,2020-12-07,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
61,2020-12-08,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
62,2020-12-09,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
63,2020-12-10,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
64,2020-12-11,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
65,2020-12-14,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
66,2020-12-15,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
67,2020-12-16,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
68,2020-12-17,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
69,2020-12-18,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
70,2020-12-21,50.11128353949275,12300000,"[-4.013832770125786, 50.11128353949275]"
71,2020-12-22,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
72,2020-12-23,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
73,2020-12-24,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
74,2020-12-28,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
75,2020-12-29,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
76,2020-12-30,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
77,2020-12-31,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
78,2021-01-01,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
79,2021-01-04,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
80,2021-01-05,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
81,2021-01-06,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
82,2021-01-07,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
83,2021-01-08,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
84,2021-01-11,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
85,2021-01-12,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
86,2021-01-13,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
87,2021-01-14,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
88,2021-01-15,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
89,2021-01-18,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
90,2021-01-19,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
91,2021-01-20,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
92,2021-01-21,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
93,2021-01-22,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
94,2021-01-25,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
95,2021-01-27,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
96,2021-01-28,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
97,2021-01-29,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
98,2021-02-01,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
99,2021-02-02,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
100,2021-02-03,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
101,2021-02-04,49.96516857934783,12200000,"[-4.126657855031447, 49.96516857934783]"
