,date,annual_return,Investment,high_low
0,2020-09-10,56.35211032988095,12600000,"[-5.971929000000004, 56.35211032988095]"
1,2020-09-11,56.35211032988095,12600000,"[-5.971929000000004, 56.35211032988095]"
2,2020-09-14,56.35211032988095,12600000,"[-5.971929000000004, 56.35211032988095]"
3,2020-09-15,56.35211032988095,12600000,"[-5.971929000000004, 56.35211032988095]"
4,2020-09-16,56.35211032988095,12600000,"[-5.971929000000004, 56.35211032988095]"
5,2020-09-17,56.35211032988095,12600000,"[-5.971929000000004, 56.35211032988095]"
6,2020-09-18,56.35211032988095,12600000,"[-5.971929000000004, 56.35211032988095]"
7,2020-09-21,56.35211032988095,12600000,"[-5.971929000000004, 56.35211032988095]"
8,2020-09-22,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
9,2020-09-23,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
10,2020-09-24,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
11,2020-09-25,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
12,2020-09-28,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
13,2020-09-29,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
14,2020-09-30,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
15,2020-10-01,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
16,2020-10-05,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
17,2020-10-06,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
18,2020-10-07,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
19,2020-10-08,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
20,2020-10-09,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
21,2020-10-12,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
22,2020-10-13,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
23,2020-10-14,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
24,2020-10-15,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
25,2020-10-16,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
26,2020-10-19,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
27,2020-10-20,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
28,2020-10-21,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
29,2020-10-22,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
30,2020-10-23,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
31,2020-10-26,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
32,2020-10-27,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
33,2020-10-28,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
34,2020-10-29,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
35,2020-10-30,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
36,2020-11-02,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
37,2020-11-03,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
38,2020-11-04,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
39,2020-11-05,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
40,2020-11-06,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
41,2020-11-09,55.88289915845238,12500000,"[-4.013672703144654, 55.88289915845238]"
