,date,annual_return,Investment,high_low
0,2020-09-10,54.03670308122067,12700000,"[-5.971929000000004, 57.92918262130952]"
1,2020-09-11,54.03670308122067,12700000,"[-5.971929000000004, 57.92918262130952]"
2,2020-09-14,54.03670308122067,12700000,"[-5.971929000000004, 57.92918262130952]"
3,2020-09-15,54.03670308122067,12700000,"[-5.971929000000004, 57.92918262130952]"
4,2020-09-16,54.03670308122067,12700000,"[-5.971929000000004, 57.92918262130952]"
5,2020-09-17,54.03670308122067,12700000,"[-5.971929000000004, 57.92918262130952]"
6,2020-09-18,54.03670308122067,12700000,"[-5.971929000000004, 57.92918262130952]"
7,2020-09-21,54.03670308122067,12700000,"[-5.971929000000004, 57.92918262130952]"
8,2020-09-22,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
9,2020-09-23,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
10,2020-09-24,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
11,2020-09-25,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
12,2020-09-28,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
13,2020-09-29,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
14,2020-09-30,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
15,2020-10-01,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
16,2020-10-05,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
17,2020-10-06,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
18,2020-10-07,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
19,2020-10-08,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
20,2020-10-09,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
21,2020-10-12,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
22,2020-10-13,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
23,2020-10-14,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
24,2020-10-15,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
25,2020-10-16,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
26,2020-10-19,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
27,2020-10-20,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
28,2020-10-21,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
29,2020-10-22,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
30,2020-10-23,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
31,2020-10-26,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
32,2020-10-27,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
33,2020-10-28,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
34,2020-10-29,53.56239732065728,12600000,"[-4.013672703144654, 57.46804999273809]"
