,date,annual_return,high_low,Investment
0,2020-09-10,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
1,2020-09-11,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
2,2020-09-14,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
3,2020-09-15,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
4,2020-09-16,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
5,2020-09-17,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
6,2020-09-18,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
7,2020-09-21,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
8,2020-09-22,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
9,2020-09-23,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
10,2020-09-24,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
11,2020-09-25,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
12,2020-09-28,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
13,2020-09-29,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
14,2020-09-30,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
15,2020-10-01,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
16,2020-10-05,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
17,2020-10-06,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
18,2020-10-07,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
19,2020-10-08,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
20,2020-10-09,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
21,2020-10-12,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
22,2020-10-13,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
23,2020-10-14,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
24,2020-10-15,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
25,2020-10-16,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
26,2020-10-19,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
27,2020-10-20,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
28,2020-10-21,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
29,2020-10-22,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
30,2020-10-23,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
31,2020-10-26,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
32,2020-10-27,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
33,2020-10-28,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
34,2020-10-29,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
35,2020-10-30,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
36,2020-11-02,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
37,2020-11-03,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
38,2020-11-04,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
39,2020-11-05,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
40,2020-11-06,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
41,2020-11-09,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
42,2020-11-10,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
43,2020-11-11,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
44,2020-11-12,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
45,2020-11-13,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
46,2020-11-14,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
47,2020-11-17,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
48,2020-11-18,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
49,2020-11-19,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
50,2020-11-20,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
51,2020-11-23,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
52,2020-11-24,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
53,2020-11-25,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
54,2020-11-26,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
55,2020-11-27,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
56,2020-12-01,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
57,2020-12-02,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
58,2020-12-03,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
59,2020-12-04,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
60,2020-12-07,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
61,2020-12-08,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
62,2020-12-09,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
63,2020-12-10,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
64,2020-12-11,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
65,2020-12-14,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
66,2020-12-15,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
67,2020-12-16,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
68,2020-12-17,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
69,2020-12-18,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
70,2020-12-21,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
71,2020-12-22,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
72,2020-12-23,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
73,2020-12-24,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
74,2020-12-28,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
75,2020-12-29,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
76,2020-12-30,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
77,2020-12-31,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
78,2021-01-01,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
79,2021-01-04,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
80,2021-01-05,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
81,2021-01-06,37.19240721428572,"[-32.46, 37.19240721428572]",2400000
