,date,annual_return,Investment,high_low
0,2020-09-10,20.874608295710786,12500000,"[-5.971929000000004, 44.237996249999995]"
1,2020-09-11,20.874608295710786,12500000,"[-5.971929000000004, 44.237996249999995]"
2,2020-09-14,20.874608295710786,12500000,"[-5.971929000000004, 44.237996249999995]"
3,2020-09-15,20.874608295710786,12500000,"[-5.971929000000004, 44.237996249999995]"
4,2020-09-16,20.874608295710786,12500000,"[-5.971929000000004, 44.237996249999995]"
5,2020-09-17,20.874608295710786,12500000,"[-5.971929000000004, 44.237996249999995]"
6,2020-09-18,20.874608295710786,12500000,"[-5.971929000000004, 44.237996249999995]"
7,2020-09-21,20.874608295710786,12500000,"[-5.971929000000004, 44.237996249999995]"
8,2020-09-22,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
9,2020-09-23,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
10,2020-09-24,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
11,2020-09-25,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
12,2020-09-28,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
13,2020-09-29,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
14,2020-09-30,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
15,2020-10-01,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
16,2020-10-05,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
17,2020-10-06,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
18,2020-10-07,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
19,2020-10-08,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
20,2020-10-09,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
21,2020-10-12,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
22,2020-10-13,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
23,2020-10-14,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
24,2020-10-15,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
25,2020-10-16,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
26,2020-10-19,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
27,2020-10-20,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
28,2020-10-21,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
29,2020-10-22,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
30,2020-10-23,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
31,2020-10-26,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
32,2020-10-27,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
33,2020-10-28,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
34,2020-10-29,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
35,2020-10-30,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
36,2020-11-02,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
37,2020-11-03,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
38,2020-11-04,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
39,2020-11-05,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
40,2020-11-06,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
41,2020-11-09,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
42,2020-11-10,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
43,2020-11-11,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
44,2020-11-12,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
45,2020-11-13,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
46,2020-11-14,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
47,2020-11-17,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
48,2020-11-18,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
49,2020-11-19,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
50,2020-11-20,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
51,2020-11-23,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
52,2020-11-24,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
53,2020-11-25,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
54,2020-11-26,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
55,2020-11-27,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
56,2020-12-01,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
57,2020-12-02,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
58,2020-12-03,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
59,2020-12-04,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
60,2020-12-07,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
61,2020-12-08,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
62,2020-12-09,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
63,2020-12-10,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
64,2020-12-11,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
65,2020-12-14,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
66,2020-12-15,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
67,2020-12-16,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
68,2020-12-17,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
69,2020-12-18,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
70,2020-12-21,20.432534398651963,12400000,"[-4.066068875786164, 38.56369999999998]"
71,2020-12-22,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
72,2020-12-23,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
73,2020-12-24,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
74,2020-12-28,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
75,2020-12-29,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
76,2020-12-30,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
77,2020-12-31,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
78,2021-01-01,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
79,2021-01-04,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
80,2021-01-05,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
81,2021-01-06,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
82,2021-01-07,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
83,2021-01-08,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
84,2021-01-11,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
85,2021-01-12,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
86,2021-01-13,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
87,2021-01-14,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
88,2021-01-15,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
89,2021-01-18,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
90,2021-01-19,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
91,2021-01-20,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
92,2021-01-21,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
93,2021-01-22,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
94,2021-01-25,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
95,2021-01-27,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
96,2021-01-28,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
97,2021-01-29,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
98,2021-02-01,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
99,2021-02-02,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
100,2021-02-03,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
101,2021-02-04,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
102,2021-02-05,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
103,2021-02-08,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
104,2021-02-09,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
105,2021-02-10,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
106,2021-02-11,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
107,2021-02-12,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
108,2021-02-15,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
109,2021-02-16,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
110,2021-02-17,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
111,2021-02-18,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
112,2021-02-19,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
113,2021-02-22,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
114,2021-02-23,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
115,2021-02-24,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
116,2021-02-25,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
117,2021-02-26,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
118,2021-03-01,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
119,2021-03-02,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
120,2021-03-03,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
121,2021-03-04,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
122,2021-03-05,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
123,2021-03-08,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
124,2021-03-09,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
125,2021-03-10,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
126,2021-03-12,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
127,2021-03-15,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
128,2021-03-16,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
129,2021-03-17,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
130,2021-03-18,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
131,2021-03-19,20.314503295710786,12300000,"[-4.178893960691824, 29.36178854166666]"
132,2021-03-22,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
133,2021-03-23,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
134,2021-03-24,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
135,2021-03-25,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
136,2021-03-26,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
137,2021-03-30,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
138,2021-03-31,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
139,2021-04-01,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
140,2021-04-05,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
141,2021-04-06,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
142,2021-04-07,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
143,2021-04-08,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
144,2021-04-09,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
145,2021-04-12,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
146,2021-04-13,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
147,2021-04-15,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
148,2021-04-16,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
149,2021-04-19,20.01170624791667,12200000,"[-4.457504243710693, 26.373512818181815]"
150,2021-04-20,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
151,2021-04-22,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
152,2021-04-23,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
153,2021-04-26,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
154,2021-04-27,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
155,2021-04-28,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
156,2021-04-29,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
157,2021-04-30,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
158,2021-05-03,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
159,2021-05-04,20.07764916115196,12100000,"[-4.389585602201259, 26.638087681818174]"
