,date,annual_return,Investment,high_low
0,2020-09-10,32.99656981094527,11700000,"[-5.971929000000004, 44.237996249999995]"
1,2020-09-11,32.99656981094527,11700000,"[-5.971929000000004, 44.237996249999995]"
2,2020-09-14,32.99656981094527,11700000,"[-5.971929000000004, 44.237996249999995]"
3,2020-09-15,32.99656981094527,11700000,"[-5.971929000000004, 44.237996249999995]"
4,2020-09-16,32.99656981094527,11700000,"[-5.971929000000004, 44.237996249999995]"
5,2020-09-17,32.99656981094527,11700000,"[-5.971929000000004, 44.237996249999995]"
6,2020-09-18,32.99656981094527,11700000,"[-5.971929000000004, 44.237996249999995]"
7,2020-09-21,32.99656981094527,11700000,"[-5.971929000000004, 44.237996249999995]"
8,2020-09-22,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
9,2020-09-23,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
10,2020-09-24,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
11,2020-09-25,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
12,2020-09-28,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
13,2020-09-29,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
14,2020-09-30,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
15,2020-10-01,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
16,2020-10-05,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
17,2020-10-06,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
18,2020-10-07,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
19,2020-10-08,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
20,2020-10-09,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
21,2020-10-12,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
22,2020-10-13,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
23,2020-10-14,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
24,2020-10-15,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
25,2020-10-16,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
26,2020-10-19,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
27,2020-10-20,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
28,2020-10-21,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
29,2020-10-22,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
30,2020-10-23,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
31,2020-10-26,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
32,2020-10-27,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
33,2020-10-28,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
34,2020-10-29,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
35,2020-10-30,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
36,2020-11-02,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
37,2020-11-03,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
38,2020-11-04,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
39,2020-11-05,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
40,2020-11-06,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
41,2020-11-09,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
42,2020-11-10,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
43,2020-11-11,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
44,2020-11-12,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
45,2020-11-13,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
46,2020-11-14,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
47,2020-11-17,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
48,2020-11-18,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
49,2020-11-19,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
50,2020-11-20,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
51,2020-11-23,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
52,2020-11-24,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
53,2020-11-25,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
54,2020-11-26,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
55,2020-11-27,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
56,2020-12-01,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
57,2020-12-02,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
58,2020-12-03,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
59,2020-12-04,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
60,2020-12-07,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
61,2020-12-08,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
62,2020-12-09,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
63,2020-12-10,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
64,2020-12-11,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
65,2020-12-14,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
66,2020-12-15,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
67,2020-12-16,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
68,2020-12-17,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
69,2020-12-18,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
70,2020-12-21,32.5115064079602,11600000,"[-3.673447400320513, 38.56369999999998]"
71,2020-12-22,32.37752742288557,11500000,"[-3.7884421983974357, 34.2879725]"
72,2020-12-23,32.37752742288557,11500000,"[-3.7884421983974357, 34.2879725]"
73,2020-12-24,32.37752742288557,11500000,"[-3.7884421983974357, 34.2879725]"
74,2020-12-28,32.37752742288557,11500000,"[-3.7884421983974357, 34.2879725]"
75,2020-12-29,32.37752742288557,11500000,"[-3.7884421983974357, 34.2879725]"
76,2020-12-30,32.37752742288557,11500000,"[-3.7884421983974357, 34.2879725]"
